features,n_features,train_mae,test_mae,train_rmse,test_rmse
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'hour', 'dayofweek', 'month', 'day', 'year', 'quarter')",10,0.42043169727322993,0.41898022749074293,1.1220746203109593,1.1179212119277726
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'hour', 'dayofweek', 'month', 'year', 'quarter')",9,0.42043193373926946,0.41898031537527614,1.122074816478054,1.1179199274344374
"('rolling_24_std', 'lag_1', 'lag_24')",3,0.4218752414050471,0.42054014208412954,1.1246387851549429,1.120465942095507
"('rolling_24_std', 'lag_1', 'lag_24', 'day')",4,0.42187544921324627,0.42054045457636596,1.1246385277580235,1.1204673218302887
"('rolling_24_std', 'lag_1', 'lag_24', 'month')",4,0.4218843763446549,0.4205520284715915,1.1246367493553895,1.1204604704432417
"('rolling_24_std', 'lag_1', 'lag_24', 'month', 'day')",5,0.4218849558039979,0.42055263585373487,1.1246364637802828,1.120461885372439
"('rolling_24_std', 'lag_1', 'lag_24', 'quarter')",4,0.4218891828350832,0.42055801654779185,1.124634987696182,1.1204581204470154
"('rolling_24_std', 'lag_1', 'lag_24', 'month', 'quarter')",5,0.42188881742732354,0.4205581809605287,1.1246311949459231,1.1204576167502303
"('rolling_24_std', 'lag_1', 'lag_24', 'day', 'quarter')",5,0.42188969684845784,0.42055840464034777,1.124634692425584,1.1204595592916777
"('rolling_24_std', 'lag_1', 'lag_24', 'month', 'day', 'quarter')",6,0.4218897778558634,0.4205590110527683,1.1246309082534411,1.1204590388705262
"('rolling_24_std', 'lag_1', 'lag_24', 'hour', 'day')",5,0.421969369207622,0.42064241870950053,1.1243429258110706,1.1201697964873267
"('rolling_24_std', 'lag_1', 'lag_24', 'hour')",4,0.42196928799961464,0.4206426632977364,1.124343187424819,1.1201683601990973
"('rolling_24_std', 'lag_1', 'lag_24', 'hour', 'month', 'day')",6,0.421980218741926,0.4206574260669494,1.1243402657676027,1.1201633185944841
"('rolling_24_std', 'lag_1', 'lag_24', 'hour', 'month')",5,0.4219800988587588,0.42065752989736377,1.1243405597565743,1.1201618368270283
"('rolling_24_std', 'lag_1', 'lag_24', 'hour', 'quarter')",5,0.421986104381587,0.4206644821065937,1.1243384279231212,1.1201591249801333
"('rolling_24_std', 'lag_1', 'lag_24', 'hour', 'day', 'quarter')",6,0.42198628108223535,0.42066454245746626,1.1243381233995475,1.120160633049122
"('rolling_24_std', 'lag_1', 'lag_24', 'hour', 'month', 'quarter')",6,0.4219908609746381,0.4206670966884434,1.1243340964569735,1.1201583813393543
"('rolling_24_std', 'lag_1', 'lag_24', 'hour', 'month', 'day', 'quarter')",7,0.42199127791008645,0.4206673385403383,1.1243338012313837,1.1201598711299787
"('rolling_24_std', 'lag_1', 'lag_24', 'dayofweek')",4,0.42199498116220047,0.4206675287893896,1.1246121742806214,1.1204392321090713
"('rolling_24_std', 'lag_1', 'lag_24', 'dayofweek', 'day')",5,0.42199569095691314,0.42066802066091974,1.1246119452184755,1.1204405330607317
"('rolling_24_std', 'lag_1', 'lag_24', 'dayofweek', 'month')",5,0.42200272007202655,0.42067790489758644,1.124610118527395,1.1204337048967858
"('rolling_24_std', 'lag_1', 'lag_24', 'dayofweek', 'month', 'day')",6,0.4220035264766055,0.4206786796191038,1.1246098627242138,1.1204350432053962
"('rolling_24_std', 'lag_1', 'lag_24', 'dayofweek', 'month', 'quarter')",6,0.4220057511919437,0.42068185842225353,1.1246042950038113,1.1204305991687844
"('rolling_24_std', 'lag_1', 'lag_24', 'dayofweek', 'quarter')",5,0.42200657380309203,0.4206828470521737,1.124608297564372,1.120431255018415
"('rolling_24_std', 'lag_1', 'lag_24', 'dayofweek', 'month', 'day', 'quarter')",7,0.4220068298560293,0.42068299204224086,1.1246040382656208,1.1204319441853028
"('rolling_24_std', 'lag_1', 'lag_24', 'dayofweek', 'day', 'quarter')",6,0.42200736841008607,0.42068351735531023,1.1246080323646062,1.1204326176458956
"('rolling_24_std', 'lag_1', 'lag_24', 'day', 'year')",5,0.4220170970767845,0.42068380892716367,1.1246305454261076,1.120462396729696
"('rolling_24_std', 'lag_1', 'lag_24', 'year')",4,0.42201753907022205,0.420683900249969,1.12463072079338,1.1204612311182571
"('rolling_24_std', 'lag_1', 'lag_24', 'month', 'day', 'year', 'quarter')",7,0.4220287702272517,0.4207005080923644,1.1246227829071906,1.120453218135153
"('rolling_24_std', 'lag_1', 'lag_24', 'month', 'year', 'quarter')",6,0.42202911595711345,0.42070082795686126,1.1246229859078873,1.1204519899789236
"('rolling_24_std', 'lag_1', 'lag_24', 'month', 'day', 'year')",6,0.4220322200428186,0.4207023517639592,1.1246276310322167,1.1204556364409046
